mes,pais,funcionalidad,es_ia,clientes_base,clientes_usando,adopcion_pct
2024-09,Colombia,Facturación electrónica,False,106180,94665,89.16
2024-09,Colombia,Informes financieros,False,106180,51246,48.26
2024-09,Colombia,Inventarios,False,106180,36172,34.07
2024-09,Colombia,Nómina electrónica,False,106180,215,0.2
2024-09,Colombia,App móvil,False,106180,220,0.21
2024-09,Colombia,Cobranza por WhatsApp,False,106180,218,0.21
2024-09,Colombia,Siigo Pay,False,106180,207,0.2
2024-09,Colombia,Centros de costo,False,106180,2731,2.57
2024-09,Colombia,API pública,False,106180,212,0.2
2024-09,Colombia,Conciliación bancaria IA,True,106180,218,0.21
2024-09,Colombia,Captura de facturas por IA,True,106180,209,0.2
2024-09,Colombia,Agente IA fiscal,True,106180,208,0.2
2024-09,México,Facturación electrónica,False,67901,44000,64.8
2024-09,México,Informes financieros,False,67901,26486,39.01
2024-09,México,Inventarios,False,67901,18910,27.85
2024-09,México,Nómina electrónica,False,67901,136,0.2
2024-09,México,App móvil,False,67901,136,0.2
2024-09,México,Cobranza por WhatsApp,False,67901,146,0.22
2024-09,México,Siigo Pay,False,67901,140,0.21
2024-09,México,Centros de costo,False,67901,1315,1.94
2024-09,México,API pública,False,67901,133,0.2
2024-09,México,Conciliación bancaria IA,True,67901,136,0.2
2024-09,México,Captura de facturas por IA,True,67901,131,0.19
2024-09,México,Agente IA fiscal,True,67901,131,0.19
2024-09,Ecuador,Facturación electrónica,False,30804,24925,80.92
2024-09,Ecuador,Informes financieros,False,30804,13547,43.98
2024-09,Ecuador,Inventarios,False,30804,10139,32.91
2024-09,Ecuador,Nómina electrónica,False,30804,62,0.2
2024-09,Ecuador,App móvil,False,30804,60,0.2
2024-09,Ecuador,Cobranza por WhatsApp,False,30804,62,0.2
2024-09,Ecuador,Siigo Pay,False,30804,61,0.2
2024-09,Ecuador,Centros de costo,False,30804,703,2.28
2024-09,Ecuador,API pública,False,30804,57,0.19
2024-09,Ecuador,Conciliación bancaria IA,True,30804,62,0.2
2024-09,Ecuador,Captura de facturas por IA,True,30804,60,0.2
2024-09,Ecuador,Agente IA fiscal,True,30804,64,0.21
2024-09,Perú,Facturación electrónica,False,18936,14586,77.03
2024-09,Perú,Informes financieros,False,18936,8155,43.07
2024-09,Perú,Inventarios,False,18936,5726,30.24
2024-09,Perú,Nómina electrónica,False,18936,37,0.2
2024-09,Perú,App móvil,False,18936,37,0.2
2024-09,Perú,Cobranza por WhatsApp,False,18936,38,0.21
2024-09,Perú,Siigo Pay,False,18936,37,0.2
2024-09,Perú,Centros de costo,False,18936,426,2.25
2024-09,Perú,API pública,False,18936,35,0.19
2024-09,Perú,Conciliación bancaria IA,True,18936,39,0.21
2024-09,Perú,Captura de facturas por IA,True,18936,37,0.2
2024-09,Perú,Agente IA fiscal,True,18936,36,0.19
2024-09,Uruguay,Facturación electrónica,False,13255,11326,85.45
2024-09,Uruguay,Informes financieros,False,13255,6315,47.65
2024-09,Uruguay,Inventarios,False,13255,4315,32.56
2024-09,Uruguay,Nómina electrónica,False,13255,26,0.2
2024-09,Uruguay,App móvil,False,13255,26,0.2
2024-09,Uruguay,Cobranza por WhatsApp,False,13255,26,0.2
2024-09,Uruguay,Siigo Pay,False,13255,26,0.2
2024-09,Uruguay,Centros de costo,False,13255,315,2.38
2024-09,Uruguay,API pública,False,13255,25,0.2
2024-09,Uruguay,Conciliación bancaria IA,True,13255,26,0.2
2024-09,Uruguay,Captura de facturas por IA,True,13255,25,0.19
2024-09,Uruguay,Agente IA fiscal,True,13255,27,0.21
2024-09,Chile,Facturación electrónica,False,4372,3022,69.12
2024-09,Chile,Informes financieros,False,4372,1727,39.52
2024-09,Chile,Inventarios,False,4372,1178,26.95
2024-09,Chile,Nómina electrónica,False,4372,8,0.2
2024-09,Chile,App móvil,False,4372,8,0.19
2024-09,Chile,Cobranza por WhatsApp,False,4372,8,0.2
2024-09,Chile,Siigo Pay,False,4372,8,0.19
2024-09,Chile,Centros de costo,False,4372,93,2.13
2024-09,Chile,API pública,False,4372,8,0.19
2024-09,Chile,Conciliación bancaria IA,True,4372,8,0.21
2024-09,Chile,Captura de facturas por IA,True,4372,8,0.2
2024-09,Chile,Agente IA fiscal,True,4372,9,0.21
2024-10,Colombia,Facturación electrónica,False,106806,93717,87.75
2024-10,Colombia,Informes financieros,False,106806,51104,47.85
2024-10,Colombia,Inventarios,False,106806,37958,35.54
2024-10,Colombia,Nómina electrónica,False,106806,448,0.42
2024-10,Colombia,App móvil,False,106806,203,0.19
2024-10,Colombia,Cobranza por WhatsApp,False,106806,208,0.2
2024-10,Colombia,Siigo Pay,False,106806,219,0.21
2024-10,Colombia,Centros de costo,False,106806,3354,3.14
2024-10,Colombia,API pública,False,106806,212,0.2
2024-10,Colombia,Conciliación bancaria IA,True,106806,216,0.2
2024-10,Colombia,Captura de facturas por IA,True,106806,214,0.2
2024-10,Colombia,Agente IA fiscal,True,106806,200,0.19
2024-10,México,Facturación electrónica,False,68948,46449,67.37
2024-10,México,Informes financieros,False,68948,27068,39.26
2024-10,México,Inventarios,False,68948,18688,27.1
2024-10,México,Nómina electrónica,False,68948,216,0.31
2024-10,México,App móvil,False,68948,133,0.19
