mes,pais,plan,mrr_inicial_usd,nuevo_usd,expansion_usd,reactivacion_usd,contraccion_usd,churn_usd,mrr_final_usd,clientes_inicial,clientes_nuevos,clientes_baja,clientes_final
2024-09,Colombia,Siigo Contador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18051,0,0,18051
2024-09,Colombia,Profesional Independiente,796031.7,0.0,0.0,0.0,0.0,0.0,796031.7,24952,0,0,24952
2024-09,Colombia,Emprendedor,1176393.46,0.0,0.0,0.0,0.0,0.0,1176393.46,28138,0,0,28138
2024-09,Colombia,Premium,747570.05,0.0,0.0,0.0,0.0,0.0,747570.05,16458,0,0,16458
2024-09,Colombia,Corporativo,469335.51,0.0,0.0,0.0,0.0,0.0,469335.51,5521,0,0,5521
2024-09,Colombia,Siigo POS,171395.16,0.0,0.0,0.0,0.0,0.0,171395.16,8813,0,0,8813
2024-09,Colombia,POS Gastrobar,110442.8,0.0,0.0,0.0,0.0,0.0,110442.8,4247,0,0,4247
2024-10,Colombia,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,18051,340,231,18161
2024-10,Colombia,Profesional Independiente,796031.7,16907.09,6323.66,850.25,-1433.51,-17858.38,800820.8,24952,642,560,25034
2024-10,Colombia,Emprendedor,1176393.46,20587.77,14297.0,833.91,-1573.27,-17434.11,1193104.75,28138,588,417,28309
2024-10,Colombia,Premium,747570.05,12226.08,8502.86,409.33,-2472.44,-8581.0,757654.87,16458,320,189,16589
2024-10,Colombia,Corporativo,469335.51,4823.15,5376.37,127.29,-0.0,-2659.23,477003.08,5521,67,31,5557
2024-10,Colombia,Siigo POS,171395.16,4493.23,1678.36,187.12,-403.87,-3925.2,173424.8,8813,277,202,8888
2024-10,Colombia,POS Gastrobar,110442.8,2857.79,1020.05,138.5,-69.8,-2902.0,111487.35,4247,133,112,4268
2024-11,Colombia,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,18161,324,235,18250
2024-11,Colombia,Profesional Independiente,800820.8,16591.63,6007.25,935.96,-2550.29,-19694.26,802111.08,25034,633,616,25051
2024-11,Colombia,Emprendedor,1193104.75,21426.11,10641.98,915.52,-0.0,-19166.78,1206921.58,28309,609,455,28463
2024-11,Colombia,Premium,757654.87,9953.27,6691.15,409.14,-916.32,-8580.74,765211.36,16589,261,188,16663
2024-11,Colombia,Corporativo,477003.08,4675.53,3746.0,134.46,-913.97,-2824.83,481820.28,5557,65,33,5589
2024-11,Colombia,Siigo POS,173424.8,3649.82,1209.53,158.86,-439.88,-3342.39,174660.76,8888,225,171,8942
2024-11,Colombia,POS Gastrobar,111487.35,2584.77,953.38,127.42,-353.22,-2678.29,112121.4,4268,120,103,4285
2024-12,Colombia,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,18250,291,282,18258
2024-12,Colombia,Profesional Independiente,802111.08,16987.68,6693.9,1028.87,-1692.47,-21608.08,803520.98,25051,648,675,25024
2024-12,Colombia,Emprendedor,1206921.58,17170.74,6075.79,993.11,-1741.68,-20911.97,1208507.58,28463,495,493,28465
2024-12,Colombia,Premium,765211.36,7250.0,6703.19,422.29,-758.06,-8855.35,769973.44,16663,192,193,16662
2024-12,Colombia,Corporativo,481820.28,3572.54,5672.52,161.51,-1296.84,-3382.45,486547.57,5589,50,39,5599
2024-12,Colombia,Siigo POS,174660.76,3453.69,1347.1,203.63,-499.85,-4282.45,174882.88,8942,216,219,8939
2024-12,Colombia,POS Gastrobar,112121.4,2487.07,958.72,160.46,-277.67,-3370.52,112079.47,4285,117,129,4273
2025-01,Colombia,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,18258,586,332,18512
2025-01,Colombia,Profesional Independiente,803520.98,34108.25,50923.27,1972.63,-1563.08,-24026.64,864935.42,25024,1227,748,25503
2025-01,Colombia,Emprendedor,1208507.58,40214.68,78772.06,2177.73,-2839.62,-26489.79,1300342.63,28465,1089,624,28930
2025-01,Colombia,Premium,769973.44,17146.93,49633.48,944.32,-2805.33,-11508.54,823384.3,16662,428,249,16841
2025-01,Colombia,Corporativo,486547.57,8036.97,31366.3,336.61,-1022.63,-4096.26,521168.55,5599,105,47,5657
2025-01,Colombia,Siigo POS,174882.88,6181.96,11291.28,379.25,-359.54,-4614.56,187761.27,8939,366,236,9069
2025-01,Colombia,POS Gastrobar,112079.47,5135.24,6990.38,289.14,-234.58,-3525.61,120734.05,4273,226,134,4365
2025-02,Colombia,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,18512,396,219,18689
2025-02,Colombia,Profesional Independiente,864935.42,27195.05,7209.69,1545.07,-1727.53,-19849.21,879308.49,25503,976,585,25894
2025-02,Colombia,Emprendedor,1300342.63,27297.68,13038.9,1523.05,-2563.65,-19533.0,1320105.61,28930,737,435,29233
2025-02,Colombia,Premium,823384.3,13490.65,6799.99,737.27,-1957.75,-9475.87,832978.59,16841,335,194,16982
2025-02,Colombia,Corporativo,521168.55,6405.74,6850.16,256.1,-1484.72,-3277.21,529918.63,5657,83,36,5705
2025-02,Colombia,Siigo POS,187761.27,4502.91,1535.51,279.58,-484.37,-3594.4,190000.51,9069,266,174,9162
2025-02,Colombia,POS Gastrobar,120734.05,3911.05,790.09,225.36,-2.21,-2894.63,122763.72,4365,172,105,4432
2025-03,Colombia,Siigo Contador,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,18689,436,243,18882
2025-03,Colombia,Profesional Independiente,879308.49,23681.08,6564.66,1627.84,-734.32,-20906.44,889541.31,25894,858,616,26137
2025-03,Colombia,Emprendedor,1320105.61,27839.5,11944.8,1676.82,-1962.51,-21515.7,1338088.52,29233,752,476,29509
