cohorte,pais,mes_vida,clientes_inicial,clientes_retenidos,retencion_pct,retencion_mrr_pct
2024-09,Colombia,0,2143,2143,100.0,100.0
2024-09,Colombia,1,2143,2041,95.24,96.11
2024-09,Colombia,2,2143,1990,92.9,94.59
2024-09,Colombia,3,2143,1959,91.44,93.94
2024-09,Colombia,4,2143,1929,90.04,93.31
2024-09,Colombia,5,2143,1900,88.68,92.72
2024-09,Colombia,6,2143,1872,87.38,92.15
2024-09,Colombia,7,2143,1845,86.13,91.62
2024-09,Colombia,8,2143,1819,84.92,91.11
2024-09,Colombia,9,2143,1795,83.77,90.63
2024-09,Colombia,10,2143,1771,82.65,90.17
2024-09,Colombia,11,2143,1748,81.58,89.75
2024-09,Colombia,12,2143,1726,80.55,89.35
2024-09,Colombia,13,2143,1705,79.56,88.98
2024-09,Colombia,14,2143,1684,78.62,88.63
2024-09,Colombia,15,2143,1665,77.7,88.31
2024-09,Colombia,16,2143,1646,76.83,88.02
2024-09,Colombia,17,2143,1628,76.0,87.75
2024-09,Colombia,18,2143,1611,75.19,87.51
2024-09,Colombia,19,2143,1594,74.43,87.3
2024-09,Colombia,20,2143,1579,73.69,87.11
2024-09,Colombia,21,2143,1564,72.99,86.94
2024-09,Colombia,22,2143,1549,72.32,86.8
2024-09,Colombia,23,2143,1535,71.67,86.67
2024-09,México,0,1515,1515,100.0,100.0
2024-09,México,1,1515,1421,93.85,94.71
2024-09,México,2,1515,1376,90.87,92.52
2024-09,México,3,1515,1348,89.02,91.45
2024-09,México,4,1515,1321,87.25,90.43
2024-09,México,5,1515,1296,85.56,89.45
2024-09,México,6,1515,1271,83.94,88.52
2024-09,México,7,1515,1248,82.38,87.63
2024-09,México,8,1515,1225,80.89,86.78
2024-09,México,9,1515,1203,79.46,85.97
2024-09,México,10,1515,1183,78.1,85.2
2024-09,México,11,1515,1163,76.79,84.48
2024-09,México,12,1515,1144,75.54,83.79
2024-09,México,13,1515,1126,74.34,83.13
2024-09,México,14,1515,1108,73.19,82.52
2024-09,México,15,1515,1092,72.1,81.94
2024-09,México,16,1515,1076,71.05,81.4
2024-09,México,17,1515,1061,70.05,80.89
2024-09,México,18,1515,1046,69.1,80.41
2024-09,México,19,1515,1033,68.19,79.97
2024-09,México,20,1515,1019,67.32,79.57
2024-09,México,21,1515,1007,66.49,79.2
2024-09,México,22,1515,995,65.7,78.85
2024-09,México,23,1515,983,64.94,78.53
2024-09,Ecuador,0,627,627,100.0,100.0
2024-09,Ecuador,1,627,594,94.84,95.7
2024-09,Ecuador,2,627,578,92.31,93.99
2024-09,Ecuador,3,627,568,90.73,93.21
2024-09,Ecuador,4,627,559,89.22,92.47
2024-09,Ecuador,5,627,550,87.76,91.76
2024-09,Ecuador,6,627,541,86.37,91.08
2024-09,Ecuador,7,627,533,85.02,90.44
2024-09,Ecuador,8,627,524,83.73,89.83
2024-09,Ecuador,9,627,517,82.49,89.25
2024-09,Ecuador,10,627,509,81.3,88.7
2024-09,Ecuador,11,627,502,80.16,88.18
2024-09,Ecuador,12,627,495,79.06,87.69
2024-09,Ecuador,13,627,489,78.01,87.24
2024-09,Ecuador,14,627,482,77.0,86.81
2024-09,Ecuador,15,627,476,76.03,86.41
2024-09,Ecuador,16,627,470,75.1,86.04
2024-09,Ecuador,17,627,465,74.22,85.7
