mes,pais,canal,visitas,leads,trials,activados,pagados,inversion_usd,cac_usd
2024-10,Colombia,Búsqueda orgánica,131862,4547,1030,667,496,79847.0,160.98
2024-10,Colombia,Canal de contadores,206883,6316,1325,714,620,77223.0,124.55
2024-10,Colombia,Google Ads,103877,4701,1116,623,383,264159.0,689.71
2024-10,Colombia,Meta Ads,71544,3101,623,390,224,137108.0,612.09
2024-10,Colombia,Televentas,60633,2570,653,365,274,163987.0,598.49
2024-10,Colombia,Referidos de clientes,36987,1412,387,226,198,15911.0,80.36
2024-10,Colombia,Alianzas y bancos,36828,1244,312,170,139,43647.0,314.0
2024-10,Colombia,Marketplace / App,20987,656,182,113,76,18548.0,244.05
2024-10,México,Búsqueda orgánica,92672,3705,1013,661,501,101082.0,201.76
2024-10,México,Canal de contadores,98093,4402,982,655,617,95558.0,154.88
2024-10,México,Google Ads,135513,4888,994,610,376,386576.0,1028.13
2024-10,México,Meta Ads,67329,2381,685,446,225,190358.0,846.04
2024-10,México,Televentas,33833,1538,461,283,226,165233.0,731.12
2024-10,México,Referidos de clientes,39951,1311,402,227,188,19595.0,104.23
2024-10,México,Alianzas y bancos,39474,1413,339,177,136,45825.0,336.95
2024-10,México,Marketplace / App,23016,800,187,110,70,21100.0,301.43
2024-10,Ecuador,Búsqueda orgánica,22754,1096,301,184,151,27076.0,179.31
2024-10,Ecuador,Canal de contadores,24015,948,276,188,175,25626.0,146.43
2024-10,Ecuador,Google Ads,46157,1443,286,175,107,81167.0,758.57
2024-10,Ecuador,Meta Ads,26790,896,195,130,69,48248.0,699.24
2024-10,Ecuador,Televentas,18804,658,174,106,77,47341.0,614.82
2024-10,Ecuador,Referidos de clientes,14315,622,132,74,60,4087.0,68.11
2024-10,Ecuador,Alianzas y bancos,13163,383,90,56,46,14953.0,325.06
2024-10,Ecuador,Marketplace / App,11397,327,64,35,24,5997.0,249.89
2024-10,Perú,Búsqueda orgánica,24432,1243,283,156,109,22732.0,208.55
2024-10,Perú,Canal de contadores,50015,1337,291,168,148,19082.0,128.93
2024-10,Perú,Google Ads,22800,959,201,136,83,53271.0,641.82
2024-10,Perú,Meta Ads,16888,530,163,96,51,32263.0,632.6
2024-10,Perú,Televentas,15410,458,100,65,55,30642.0,557.13
2024-10,Perú,Referidos de clientes,8289,428,84,51,43,3605.0,83.84
2024-10,Perú,Alianzas y bancos,5308,233,58,39,32,9632.0,301.01
2024-10,Perú,Marketplace / App,3993,167,44,23,17,4145.0,243.85
2024-10,Uruguay,Búsqueda orgánica,11399,427,116,78,58,12142.0,209.34
2024-10,Uruguay,Canal de contadores,18938,555,129,88,74,15454.0,208.84
2024-10,Uruguay,Google Ads,9969,462,117,67,41,39986.0,975.26
2024-10,Uruguay,Meta Ads,5804,260,63,39,22,21153.0,961.5
2024-10,Uruguay,Televentas,4826,232,71,41,32,27359.0,854.97
2024-10,Uruguay,Referidos de clientes,3252,140,40,25,22,2350.0,106.82
2024-10,Uruguay,Alianzas y bancos,3418,153,34,20,16,5595.0,349.69
2024-10,Uruguay,Marketplace / App,2764,109,23,13,9,3315.0,368.32
2024-10,Chile,Búsqueda orgánica,9680,379,90,53,40,12264.0,306.61
2024-10,Chile,Canal de contadores,9708,392,91,59,53,11921.0,224.92
2024-10,Chile,Google Ads,8073,388,87,53,33,37516.0,1136.86
2024-10,Chile,Meta Ads,6488,200,59,38,22,24408.0,1109.44
2024-10,Chile,Televentas,3116,124,37,25,20,18981.0,949.03
2024-10,Chile,Referidos de clientes,2608,112,26,18,15,1966.0,131.08
2024-10,Chile,Alianzas y bancos,2396,106,22,14,11,5927.0,538.86
2024-10,Chile,Marketplace / App,1630,65,14,8,6,2532.0,422.03
2024-11,Colombia,Búsqueda orgánica,143558,4714,1206,701,526,93403.0,177.57
2024-11,Colombia,Canal de contadores,71976,3185,986,607,522,74794.0,143.28
2024-11,Colombia,Google Ads,80324,4115,816,548,337,233297.0,692.28
2024-11,Colombia,Meta Ads,69424,2089,604,362,216,134074.0,620.71
2024-11,Colombia,Televentas,76327,2301,544,318,251,137854.0,549.22
2024-11,Colombia,Referidos de clientes,24188,1147,341,203,166,12613.0,75.98
2024-11,Colombia,Alianzas y bancos,21347,1090,265,162,133,36353.0,273.33
2024-11,Colombia,Marketplace / App,27052,794,179,113,72,15864.0,220.33
2024-11,México,Búsqueda orgánica,84629,4019,930,606,441,115144.0,261.1
2024-11,México,Canal de contadores,106450,4905,1138,660,587,105709.0,180.08
2024-11,México,Google Ads,108937,3428,908,565,335,301125.0,898.88
2024-11,México,Meta Ads,101402,2864,604,408,207,160274.0,774.27
2024-11,México,Televentas,42869,1692,515,313,247,167040.0,676.27
2024-11,México,Referidos de clientes,33293,950,290,171,147,15281.0,103.95
2024-11,México,Alianzas y bancos,20747,1035,266,158,130,51665.0,397.42
2024-11,México,Marketplace / App,16068,700,165,103,72,20855.0,289.65
2024-11,Ecuador,Búsqueda orgánica,34560,1620,346,235,176,34163.0,194.11
2024-11,Ecuador,Canal de contadores,53311,1927,382,255,215,32352.0,150.48
2024-11,Ecuador,Google Ads,52529,1400,357,190,113,91081.0,806.03
2024-11,Ecuador,Meta Ads,21913,700,205,132,68,48912.0,719.29
2024-11,Ecuador,Televentas,17706,584,177,103,86,50684.0,589.35
2024-11,Ecuador,Referidos de clientes,8121,399,100,64,59,4647.0,78.76
2024-11,Ecuador,Alianzas y bancos,8305,406,100,55,50,14363.0,287.27
2024-11,Ecuador,Marketplace / App,9418,280,56,36,25,6317.0,252.69
2024-11,Perú,Búsqueda orgánica,30880,963,270,145,113,23736.0,210.05
2024-11,Perú,Canal de contadores,19705,905,268,148,130,15449.0,118.84
2024-11,Perú,Google Ads,13498,680,167,111,68,53181.0,782.07
2024-11,Perú,Meta Ads,18607,600,181,100,53,34185.0,644.99
2024-11,Perú,Televentas,12352,488,99,67,55,32198.0,585.41
2024-11,Perú,Referidos de clientes,5600,259,66,45,35,2536.0,72.45
2024-11,Perú,Alianzas y bancos,5174,243,58,31,26,9084.0,349.37
2024-11,Perú,Marketplace / App,3277,143,34,22,15,3486.0,232.38
2024-11,Uruguay,Búsqueda orgánica,18208,512,130,72,52,14214.0,273.34
2024-11,Uruguay,Canal de contadores,8582,388,109,71,63,12404.0,196.89
2024-11,Uruguay,Google Ads,12319,597,123,68,43,43552.0,1012.85
2024-11,Uruguay,Meta Ads,11600,346,97,56,29,26010.0,896.89
2024-11,Uruguay,Televentas,7586,232,64,39,30,23897.0,796.57
2024-11,Uruguay,Referidos de clientes,3369,162,38,21,20,2075.0,103.77
2024-11,Uruguay,Alianzas y bancos,1966,84,26,17,14,4729.0,337.76
2024-11,Uruguay,Marketplace / App,1974,82,21,12,8,2737.0,342.18
2024-11,Chile,Búsqueda orgánica,6766,324,100,56,42,13030.0,310.24
2024-11,Chile,Canal de contadores,8758,344,92,54,53,12203.0,230.25
2024-11,Chile,Google Ads,7648,331,69,46,29,37099.0,1279.28
2024-11,Chile,Meta Ads,7141,232,53,30,17,17228.0,1013.41
2024-11,Chile,Televentas,3158,142,34,22,18,18689.0,1038.29
2024-11,Chile,Referidos de clientes,3217,117,23,14,12,1451.0,120.96
2024-11,Chile,Alianzas y bancos,2465,68,16,11,10,5369.0,536.88
2024-11,Chile,Marketplace / App,1868,51,13,9,6,2308.0,384.71
2024-12,Colombia,Búsqueda orgánica,186411,4873,997,540,409,72618.0,177.55
2024-12,Colombia,Canal de contadores,120316,4673,1141,629,553,84269.0,152.39
2024-12,Colombia,Google Ads,88674,4205,926,502,306,202805.0,662.76
2024-12,Colombia,Meta Ads,73664,2093,521,345,183,123167.0,673.05
2024-12,Colombia,Televentas,51348,2606,538,306,230,114386.0,497.33
2024-12,Colombia,Referidos de clientes,45834,1257,346,214,173,12590.0,72.78
2024-12,Colombia,Alianzas y bancos,22738,983,264,143,112,30166.0,269.33
2024-12,Colombia,Marketplace / App,22055,768,189,99,67,15819.0,236.1
2024-12,México,Búsqueda orgánica,175876,4870,952,606,463,97515.0,210.62
2024-12,México,Canal de contadores,137749,4550,1050,595,558,95022.0,170.29
2024-12,México,Google Ads,119629,4348,875,581,327,276093.0,844.32
2024-12,México,Meta Ads,75997,2046,624,353,196,157368.0,802.9
2024-12,México,Televentas,41906,1524,453,286,236,164999.0,699.15
2024-12,México,Referidos de clientes,33036,1369,317,185,161,14756.0,91.65
2024-12,México,Alianzas y bancos,20531,958,239,144,123,39597.0,321.93
2024-12,México,Marketplace / App,14717,765,159,105,76,23411.0,308.04
2024-12,Ecuador,Búsqueda orgánica,42594,1478,306,193,149,30919.0,207.51
2024-12,Ecuador,Canal de contadores,41410,1328,406,223,200,32855.0,164.27
2024-12,Ecuador,Google Ads,29454,1487,283,168,101,76512.0,757.54
2024-12,Ecuador,Meta Ads,25321,835,223,125,65,43701.0,672.32
2024-12,Ecuador,Televentas,15234,537,160,106,83,44321.0,533.99
2024-12,Ecuador,Referidos de clientes,15248,467,107,63,52,4506.0,86.65
2024-12,Ecuador,Alianzas y bancos,7905,276,83,50,41,13798.0,336.53
2024-12,Ecuador,Marketplace / App,6776,259,58,35,24,5433.0,226.39
2024-12,Perú,Búsqueda orgánica,22499,951,242,139,98,17000.0,173.47
2024-12,Perú,Canal de contadores,24579,1119,237,155,133,18522.0,139.26
2024-12,Perú,Google Ads,22396,1013,218,142,82,61229.0,746.7
2024-12,Perú,Meta Ads,14949,718,139,81,46,33548.0,729.3
2024-12,Perú,Televentas,13760,511,126,70,55,34302.0,623.67
2024-12,Perú,Referidos de clientes,9664,331,91,48,39,3023.0,77.5
2024-12,Perú,Alianzas y bancos,3224,166,51,35,29,9359.0,322.74
2024-12,Perú,Marketplace / App,3885,142,42,26,17,4112.0,241.86
2024-12,Uruguay,Búsqueda orgánica,12814,460,123,76,58,13792.0,237.79
2024-12,Uruguay,Canal de contadores,10444,427,113,69,64,13572.0,212.06
2024-12,Uruguay,Google Ads,7371,372,110,64,39,39149.0,1003.81
2024-12,Uruguay,Meta Ads,6309,273,73,47,25,22090.0,883.6
2024-12,Uruguay,Televentas,5314,168,48,32,26,18079.0,695.33
2024-12,Uruguay,Referidos de clientes,4221,156,32,19,17,1848.0,108.7
2024-12,Uruguay,Alianzas y bancos,3846,155,30,19,16,6788.0,424.23
2024-12,Uruguay,Marketplace / App,1076,52,16,11,8,2811.0,351.36
2024-12,Chile,Búsqueda orgánica,6137,281,73,44,32,9531.0,297.86
2024-12,Chile,Canal de contadores,6533,310,93,55,46,11039.0,239.97
2024-12,Chile,Google Ads,9993,261,68,45,27,34322.0,1271.18
2024-12,Chile,Meta Ads,3998,147,43,29,17,19245.0,1132.05
2024-12,Chile,Televentas,4238,127,37,25,20,19993.0,999.66
2024-12,Chile,Referidos de clientes,3272,113,23,14,12,1556.0,129.71
2024-12,Chile,Alianzas y bancos,1944,96,20,12,10,4476.0,447.55
2024-12,Chile,Marketplace / App,1257,41,11,6,5,1880.0,376.06
2025-01,Colombia,Búsqueda orgánica,188554,7729,1622,1012,771,119050.0,154.41
2025-01,Colombia,Canal de contadores,305159,10202,2037,1344,1169,162776.0,139.24
2025-01,Colombia,Google Ads,173066,8501,1765,988,599,441972.0,737.85
2025-01,Colombia,Meta Ads,141028,5661,1242,702,372,250618.0,673.7
2025-01,Colombia,Televentas,98503,4598,913,511,384,207145.0,539.44
2025-01,Colombia,Referidos de clientes,39312,1812,536,326,290,22906.0,78.99
2025-01,Colombia,Alianzas y bancos,103398,3149,603,325,253,64998.0,256.91
2025-01,Colombia,Marketplace / App,26358,1203,355,197,134,34104.0,254.5
2025-01,México,Búsqueda orgánica,179501,8734,1885,989,727,156849.0,215.75
2025-01,México,Canal de contadores,199885,5884,1671,1037,908,166105.0,182.93
2025-01,México,Google Ads,117404,5056,1385,871,574,530665.0,924.5
2025-01,México,Meta Ads,178779,5013,1117,653,355,254604.0,717.19
2025-01,México,Televentas,117799,3687,770,490,385,276851.0,719.09
2025-01,México,Referidos de clientes,31143,1602,388,250,215,21638.0,100.64
2025-01,México,Alianzas y bancos,69606,1849,375,235,183,67971.0,371.43
2025-01,México,Marketplace / App,24076,1054,258,157,101,30209.0,299.1
2025-01,Ecuador,Búsqueda orgánica,51812,2045,607,356,269,47669.0,177.21
2025-01,Ecuador,Canal de contadores,73467,2961,777,439,381,55942.0,146.83
2025-01,Ecuador,Google Ads,96422,2697,578,302,185,136687.0,738.85
2025-01,Ecuador,Meta Ads,34318,1268,373,199,108,69733.0,645.68
2025-01,Ecuador,Televentas,18143,883,230,139,112,67981.0,606.97
