mes,area,pais,headcount,costo_mensual_usd,rotacion_12m_pct,vacantes_abiertas
2024-09,Producto y Tecnología,Colombia,331,2257026,9.7,8
2024-09,Producto y Tecnología,México,133,913999,10.2,3
2024-09,Producto y Tecnología,Ecuador,56,412340,15.0,0
2024-09,Producto y Tecnología,Perú,37,259347,10.5,0
2024-09,Producto y Tecnología,Uruguay,29,195251,9.9,1
2024-09,Producto y Tecnología,Chile,13,94180,15.6,1
2024-09,Producto y Tecnología,Remoto / otros,10,70375,10.7,1
2024-09,Servicio al Cliente,Colombia,284,675691,18.8,2
2024-09,Servicio al Cliente,México,114,265237,21.6,4
2024-09,Servicio al Cliente,Ecuador,48,116843,20.1,2
2024-09,Servicio al Cliente,Perú,32,77853,16.2,1
2024-09,Servicio al Cliente,Uruguay,25,58582,16.7,2
2024-09,Servicio al Cliente,Chile,11,26225,20.5,0
2024-09,Servicio al Cliente,Remoto / otros,8,17616,17.6,0
2024-09,Comercial,Colombia,205,618939,15.3,8
2024-09,Comercial,México,82,262922,17.1,1
2024-09,Comercial,Ecuador,35,104820,13.9,0
2024-09,Comercial,Perú,23,70010,12.3,1
2024-09,Comercial,Uruguay,18,57619,10.1,0
2024-09,Comercial,Chile,8,24471,14.0,0
2024-09,Comercial,Remoto / otros,6,18519,10.0,0
2024-09,Mercadeo,Colombia,61,216140,7.3,0
2024-09,Mercadeo,México,24,89123,10.1,0
2024-09,Mercadeo,Ecuador,10,36005,8.8,1
2024-09,Mercadeo,Perú,6,21033,10.2,0
2024-09,Mercadeo,Uruguay,5,18070,12.8,0
2024-09,Mercadeo,Chile,2,7459,8.0,0
2024-09,Mercadeo,Remoto / otros,1,3672,7.7,0
2024-09,Operaciones,Colombia,85,235509,9.5,0
2024-09,Operaciones,México,34,95036,11.4,0
2024-09,Operaciones,Ecuador,14,38859,12.8,1
2024-09,Operaciones,Perú,9,24324,10.9,0
2024-09,Operaciones,Uruguay,7,20085,10.6,0
2024-09,Operaciones,Chile,3,8276,11.9,0
2024-09,Operaciones,Remoto / otros,2,5132,11.0,0
2024-09,Finanzas y Administración,Colombia,55,228345,9.8,1
2024-09,Finanzas y Administración,México,22,93224,15.8,0
2024-09,Finanzas y Administración,Ecuador,9,36710,9.7,0
2024-09,Finanzas y Administración,Perú,6,25989,10.9,1
2024-09,Finanzas y Administración,Uruguay,4,15953,10.8,1
2024-09,Finanzas y Administración,Chile,2,8468,12.8,0
2024-09,Finanzas y Administración,Remoto / otros,1,4219,10.7,0
2024-09,Gente y Cultura,Colombia,37,120676,11.1,1
2024-09,Gente y Cultura,México,14,47619,10.7,0
2024-09,Gente y Cultura,Ecuador,6,21073,5.9,0
2024-09,Gente y Cultura,Perú,4,13925,17.5,0
2024-09,Gente y Cultura,Uruguay,3,10094,11.1,0
2024-09,Gente y Cultura,Chile,1,3589,12.4,0
2024-09,Gente y Cultura,Remoto / otros,1,3325,10.8,0
2024-10,Producto y Tecnología,Colombia,327,2279933,12.1,10
2024-10,Producto y Tecnología,México,131,903937,12.9,4
2024-10,Producto y Tecnología,Ecuador,55,370914,7.4,0
2024-10,Producto y Tecnología,Perú,36,248855,12.7,1
2024-10,Producto y Tecnología,Uruguay,29,194007,12.6,0
2024-10,Producto y Tecnología,Chile,13,94980,13.0,0
2024-10,Producto y Tecnología,Remoto / otros,10,67430,11.7,0
2024-10,Servicio al Cliente,Colombia,281,654739,21.3,10
2024-10,Servicio al Cliente,México,113,273319,19.3,3
2024-10,Servicio al Cliente,Ecuador,47,117886,21.8,3
2024-10,Servicio al Cliente,Perú,31,76969,18.7,1
2024-10,Servicio al Cliente,Uruguay,25,58735,16.7,1
2024-10,Servicio al Cliente,Chile,11,27382,17.2,1
2024-10,Servicio al Cliente,Remoto / otros,8,19240,17.7,2
2024-10,Comercial,Colombia,203,643494,8.3,4
2024-10,Comercial,México,82,243592,10.4,2
2024-10,Comercial,Ecuador,34,105441,10.0,2
2024-10,Comercial,Perú,22,69259,11.0,0
2024-10,Comercial,Uruguay,18,56126,9.7,1
2024-10,Comercial,Chile,8,24722,13.3,0
2024-10,Comercial,Remoto / otros,6,19156,10.2,0
2024-10,Mercadeo,Colombia,60,218833,11.1,0
2024-10,Mercadeo,México,24,88915,11.8,0
2024-10,Mercadeo,Ecuador,10,36469,9.1,0
2024-10,Mercadeo,Perú,6,21541,16.2,0
2024-10,Mercadeo,Uruguay,5,18245,15.8,0
2024-10,Mercadeo,Chile,2,6894,10.2,1
2024-10,Mercadeo,Remoto / otros,1,3557,13.3,0
2024-10,Operaciones,Colombia,85,229895,7.6,2
2024-10,Operaciones,México,34,91522,11.0,1
2024-10,Operaciones,Ecuador,14,40430,11.4,0
2024-10,Operaciones,Perú,9,24809,10.8,3
2024-10,Operaciones,Uruguay,7,19547,11.0,0
2024-10,Operaciones,Chile,3,8812,11.6,0
2024-10,Operaciones,Remoto / otros,2,5832,6.2,0
2024-10,Finanzas y Administración,Colombia,54,226213,15.4,0
2024-10,Finanzas y Administración,México,21,86767,8.7,1
2024-10,Finanzas y Administración,Ecuador,9,37442,10.9,0
2024-10,Finanzas y Administración,Perú,6,25334,14.0,2
2024-10,Finanzas y Administración,Uruguay,4,16351,9.2,0
2024-10,Finanzas y Administración,Chile,2,8530,10.6,1
2024-10,Finanzas y Administración,Remoto / otros,1,4281,10.1,0
2024-10,Gente y Cultura,Colombia,36,120809,10.4,2
2024-10,Gente y Cultura,México,14,47901,12.2,0
2024-10,Gente y Cultura,Ecuador,6,21280,9.9,0
2024-10,Gente y Cultura,Perú,4,13694,12.9,1
2024-10,Gente y Cultura,Uruguay,3,10257,12.3,0
2024-10,Gente y Cultura,Chile,1,3573,10.6,1
2024-10,Gente y Cultura,Remoto / otros,1,3521,10.9,0
2024-11,Producto y Tecnología,Colombia,333,2337471,14.2,12
2024-11,Producto y Tecnología,México,134,924829,11.5,1
2024-11,Producto y Tecnología,Ecuador,56,395018,13.0,3
2024-11,Producto y Tecnología,Perú,37,246317,9.4,2
2024-11,Producto y Tecnología,Uruguay,30,212312,13.0,0
2024-11,Producto y Tecnología,Chile,13,87509,8.9,0
2024-11,Producto y Tecnología,Remoto / otros,10,70660,7.8,1
2024-11,Servicio al Cliente,Colombia,286,671587,18.7,9
2024-11,Servicio al Cliente,México,115,264696,17.3,6
2024-11,Servicio al Cliente,Ecuador,48,119921,16.1,2
2024-11,Servicio al Cliente,Perú,32,78741,19.2,1
2024-11,Servicio al Cliente,Uruguay,25,57411,18.9,1
2024-11,Servicio al Cliente,Chile,11,26772,20.4,0
2024-11,Servicio al Cliente,Remoto / otros,9,21656,17.1,0
2024-11,Comercial,Colombia,207,634570,5.3,7
2024-11,Comercial,México,83,270938,10.5,0
2024-11,Comercial,Ecuador,35,115090,10.2,3
2024-11,Comercial,Perú,23,68098,11.2,0
2024-11,Comercial,Uruguay,18,55146,10.6,0
2024-11,Comercial,Chile,8,25584,8.4,0
2024-11,Comercial,Remoto / otros,6,19184,14.0,0
2024-11,Mercadeo,Colombia,62,217317,16.1,1
2024-11,Mercadeo,México,24,85571,12.3,0
2024-11,Mercadeo,Ecuador,10,35168,11.1,0
2024-11,Mercadeo,Perú,6,21086,10.6,0
2024-11,Mercadeo,Uruguay,5,18070,5.8,0
2024-11,Mercadeo,Chile,2,7113,12.1,0
2024-11,Mercadeo,Remoto / otros,1,3666,9.9,0
2024-11,Operaciones,Colombia,86,230891,13.3,3
2024-11,Operaciones,México,34,92706,12.5,1
2024-11,Operaciones,Ecuador,14,39103,7.7,1
2024-11,Operaciones,Perú,9,24557,14.3,1
2024-11,Operaciones,Uruguay,7,18708,14.9,1
2024-11,Operaciones,Chile,3,8445,8.4,0
2024-11,Operaciones,Remoto / otros,2,5736,16.5,1
2024-11,Finanzas y Administración,Colombia,55,221081,12.5,2
2024-11,Finanzas y Administración,México,22,89084,10.7,1
2024-11,Finanzas y Administración,Ecuador,9,39120,14.8,1
2024-11,Finanzas y Administración,Perú,6,25054,10.9,0
2024-11,Finanzas y Administración,Uruguay,5,21720,8.9,0
2024-11,Finanzas y Administración,Chile,2,8296,10.1,0
2024-11,Finanzas y Administración,Remoto / otros,1,4316,11.4,0
2024-11,Gente y Cultura,Colombia,37,125854,13.7,2
2024-11,Gente y Cultura,México,15,48637,5.0,0
2024-11,Gente y Cultura,Ecuador,6,21421,13.0,1
2024-11,Gente y Cultura,Perú,4,13094,12.7,0
2024-11,Gente y Cultura,Uruguay,3,9779,10.2,0
2024-11,Gente y Cultura,Chile,1,3355,13.2,0
2024-11,Gente y Cultura,Remoto / otros,1,3409,11.2,0
2024-12,Producto y Tecnología,Colombia,335,2402072,11.4,7
2024-12,Producto y Tecnología,México,135,911770,11.2,7
2024-12,Producto y Tecnología,Ecuador,57,400231,16.2,2
2024-12,Producto y Tecnología,Perú,37,252672,9.4,0
2024-12,Producto y Tecnología,Uruguay,30,204855,10.7,0
2024-12,Producto y Tecnología,Chile,13,94236,10.9,0
2024-12,Producto y Tecnología,Remoto / otros,10,68234,12.0,1
2024-12,Servicio al Cliente,Colombia,287,689661,16.8,4
2024-12,Servicio al Cliente,México,116,280499,16.9,2
2024-12,Servicio al Cliente,Ecuador,48,114087,13.7,0
2024-12,Servicio al Cliente,Perú,32,73508,22.0,0
2024-12,Servicio al Cliente,Uruguay,26,57962,17.2,0
2024-12,Servicio al Cliente,Chile,11,27582,18.1,1
2024-12,Servicio al Cliente,Remoto / otros,9,22232,17.8,0
2024-12,Comercial,Colombia,208,666276,11.8,9
2024-12,Comercial,México,83,259968,11.5,2
2024-12,Comercial,Ecuador,35,103288,15.4,2
2024-12,Comercial,Perú,23,74063,11.7,2
2024-12,Comercial,Uruguay,18,60099,11.1,2
2024-12,Comercial,Chile,8,25020,15.0,1
2024-12,Comercial,Remoto / otros,6,18842,9.8,0
2024-12,Mercadeo,Colombia,62,215505,11.9,5
2024-12,Mercadeo,México,25,90404,14.5,1
2024-12,Mercadeo,Ecuador,10,37814,9.0,0
2024-12,Mercadeo,Perú,7,25752,14.7,0
2024-12,Mercadeo,Uruguay,5,18764,11.7,0
2024-12,Mercadeo,Chile,2,7242,13.8,0
2024-12,Mercadeo,Remoto / otros,1,3621,15.5,1
2024-12,Operaciones,Colombia,87,246489,10.4,1
2024-12,Operaciones,México,35,96752,11.8,0
2024-12,Operaciones,Ecuador,14,39083,15.9,1
2024-12,Operaciones,Perú,9,24919,9.3,0
2024-12,Operaciones,Uruguay,7,18835,14.8,0
2024-12,Operaciones,Chile,3,8250,15.2,0
2024-12,Operaciones,Remoto / otros,2,5381,14.0,0
2024-12,Finanzas y Administración,Colombia,55,232531,12.3,1
2024-12,Finanzas y Administración,México,22,90510,13.6,0
2024-12,Finanzas y Administración,Ecuador,9,39123,14.5,1
