mes,ingresos_usd,costo_servicio_usd,margen_bruto_usd,margen_bruto_pct,sym_usd,rnd_usd,gna_usd,ebitda_usd,ebitda_pct,capex_usd,intereses_usd,deuda_usd,caja_usd,headcount
2024-09,9088320.0,2322371.0,6765949.0,74.45,2534355.0,1999895.0,1189967.0,1041732.0,11.46,199476.0,392920.0,41800000.0,34549336.0,1962
2024-10,9215886.0,2023991.0,7191895.0,78.04,2682194.0,2051207.0,1187481.0,1271013.0,13.79,246064.0,392920.0,41800000.0,35181365.0,1940
2024-11,9359804.0,2311862.0,7047941.0,75.3,2758900.0,1962790.0,1093935.0,1232316.0,13.17,242470.0,392920.0,41800000.0,35778291.0,1977
2024-12,9358024.0,2218748.0,7139276.0,76.29,2578061.0,1872959.0,1212926.0,1475330.0,15.77,325157.0,392920.0,41800000.0,36535544.0,1986
2025-01,10054295.0,2528889.0,7525406.0,74.85,2930964.0,2088496.0,1284051.0,1221894.0,12.15,300042.0,392920.0,41800000.0,37064476.0,2008
2025-02,10221996.0,2485976.0,7736020.0,75.68,2895863.0,2180466.0,1304694.0,1354998.0,13.26,294144.0,392920.0,41800000.0,37732410.0,2036
2025-03,10340154.0,2509496.0,7830658.0,75.73,2926026.0,2057246.0,1303943.0,1543444.0,14.93,317899.0,392920.0,41800000.0,38565034.0,2059
2025-04,10515813.0,2518614.0,7997200.0,76.05,3321040.0,2302216.0,1295355.0,1078589.0,10.26,305290.0,392920.0,41800000.0,38945413.0,2071
2025-05,10686339.0,2659123.0,8027216.0,75.12,3193843.0,2224687.0,1476336.0,1132350.0,10.6,321979.0,392920.0,41800000.0,39362864.0,2056
2025-06,10825448.0,2608927.0,8216521.0,75.9,3036764.0,2314490.0,1344267.0,1520999.0,14.05,432281.0,392920.0,41800000.0,40058663.0,2076
2025-07,11062149.0,2507353.0,8554796.0,77.33,3168265.0,2155161.0,1435805.0,1795565.0,16.23,321431.0,392920.0,41800000.0,41139877.0,2090
2025-08,11089248.0,2664470.0,8424779.0,75.97,3224700.0,2243653.0,1508660.0,1447766.0,13.06,379575.0,392920.0,41800000.0,41815148.0,2118
2025-09,11297398.0,2901507.0,8395892.0,74.32,3320668.0,2499963.0,1454690.0,1120571.0,9.92,317584.0,392920.0,41800000.0,42225214.0,2124
2025-10,11397393.0,2720826.0,8676567.0,76.13,3365334.0,2566157.0,1527499.0,1217577.0,10.68,335069.0,392920.0,41800000.0,42714802.0,2145
2025-11,11684623.0,3051565.0,8633058.0,73.88,3209675.0,2455923.0,1524354.0,1443106.0,12.35,355480.0,392920.0,41800000.0,43409507.0,2166
2025-12,11795856.0,2936283.0,8859574.0,75.11,3281730.0,2526846.0,1520140.0,1530856.0,12.98,380544.0,392920.0,41800000.0,44166900.0,2164
2026-01,12672183.0,3076223.0,9595961.0,75.72,3576128.0,2627105.0,1597533.0,1795194.0,14.17,389753.0,392920.0,41800000.0,45179421.0,2184
2026-02,12855892.0,2998028.0,9857864.0,76.68,3627365.0,2696414.0,1764656.0,1769430.0,13.76,390930.0,392920.0,41800000.0,46165001.0,2208
2026-03,13086923.0,3163545.0,9923378.0,75.83,3730081.0,2852824.0,1756830.0,1583643.0,12.1,440011.0,392920.0,41800000.0,46915713.0,2214
2026-04,13356385.0,3476732.0,9879653.0,73.97,4023241.0,2987122.0,1681695.0,1187595.0,8.89,384835.0,392920.0,41800000.0,47325553.0,2257
2026-05,13487435.0,3207550.0,10279886.0,76.22,3928451.0,2975681.0,1743190.0,1632564.0,12.1,311676.0,392920.0,41800000.0,48253520.0,2262
2026-06,13651753.0,3360346.0,10291407.0,75.39,4105273.0,2983407.0,1779114.0,1423613.0,10.43,330184.0,392920.0,41800000.0,48954030.0,2257
2026-07,13944895.0,3467699.0,10477197.0,75.13,3904390.0,2955793.0,1846967.0,1770047.0,12.69,463893.0,972900.0,103500000.0,110987284.0,2286
2026-08,13785663.0,3411770.0,10373893.0,75.25,4016762.0,2812907.0,1635382.0,1908842.0,13.85,453335.0,972900.0,103500000.0,111469891.0,2309
