incidente_id,fecha,mes,severidad,componente,duracion_min,clientes_afectados,en_temporada
INC-0001,2024-09-04,2024-09,S3,Integración DIAN,13,38230,True
INC-0002,2024-09-11,2024-09,S3,Portal web,7,22000,True
INC-0003,2024-11-18,2024-11,S3,Base de datos,12,8297,False
INC-0004,2024-11-29,2024-11,S2,Base de datos,54,72890,False
INC-0005,2025-01-07,2025-01,S3,App móvil,24,58777,False
INC-0006,2025-03-18,2025-03,S2,Portal web,66,44803,True
INC-0007,2025-03-29,2025-03,S1,Motor contable,79,22935,True
INC-0008,2025-04-05,2025-04,S2,Base de datos,71,25815,True
INC-0009,2025-04-13,2025-04,S1,Motor contable,169,12991,True
INC-0010,2025-04-15,2025-04,S2,API de facturación,34,34917,True
INC-0011,2025-04-18,2025-04,S3,App móvil,12,125015,True
INC-0012,2025-04-29,2025-04,S1,Integración DIAN,40,27409,True
INC-0013,2025-04-30,2025-04,S3,Portal web,27,103290,True
INC-0014,2025-05-05,2025-05,S3,Base de datos,13,97049,True
INC-0015,2025-05-24,2025-05,S3,App móvil,10,117862,True
INC-0016,2025-05-28,2025-05,S3,Integración DIAN,18,31585,True
INC-0017,2025-05-28,2025-05,S3,App móvil,9,25569,True
INC-0018,2025-05-30,2025-05,S2,Portal web,59,19212,True
INC-0019,2025-06-04,2025-06,S2,API de facturación,59,102440,False
INC-0020,2025-06-16,2025-06,S3,API de facturación,25,112494,False
INC-0021,2025-08-11,2025-08,S3,Integración DIAN,7,78548,True
INC-0022,2025-08-26,2025-08,S2,Integración DIAN,39,85041,True
INC-0023,2025-08-28,2025-08,S1,Integración DIAN,72,112410,True
INC-0024,2025-08-30,2025-08,S3,Base de datos,18,65237,True
INC-0025,2025-09-04,2025-09,S2,Base de datos,62,89170,True
INC-0026,2025-09-17,2025-09,S2,Motor contable,60,90301,True
INC-0027,2025-10-14,2025-10,S1,Integración DIAN,77,54801,False
INC-0028,2025-12-12,2025-12,S2,Base de datos,23,105104,False
INC-0029,2026-02-12,2026-02,S3,App móvil,7,17520,False
INC-0030,2026-03-02,2026-03,S3,App móvil,21,45407,True
INC-0031,2026-03-09,2026-03,S2,Portal web,21,26679,True
INC-0032,2026-03-12,2026-03,S2,Integración DIAN,22,118956,True
INC-0033,2026-03-29,2026-03,S2,Siigo Pay,38,114188,True
INC-0034,2026-03-31,2026-03,S2,Portal web,31,111423,True
INC-0035,2026-04-14,2026-04,S3,Siigo Pay,12,36287,True
INC-0036,2026-04-18,2026-04,S3,Siigo Pay,10,98509,True
INC-0037,2026-04-29,2026-04,S3,Siigo Pay,27,23476,True
INC-0038,2026-05-04,2026-05,S2,Base de datos,57,51258,True
INC-0039,2026-05-10,2026-05,S3,Motor contable,16,8851,True
INC-0040,2026-05-11,2026-05,S3,Base de datos,15,33212,True
INC-0041,2026-06-02,2026-06,S2,Portal web,36,113313,False
INC-0042,2026-07-27,2026-07,S2,App móvil,27,92546,False
INC-0043,2026-08-07,2026-08,S3,Siigo Pay,18,61193,True
INC-0044,2026-08-21,2026-08,S3,Siigo Pay,7,8771,True
INC-0045,2026-08-25,2026-08,S2,Integración DIAN,18,39373,True
INC-0046,2026-08-26,2026-08,S2,App móvil,32,94079,True
INC-0047,2026-08-29,2026-08,S2,Integración DIAN,63,91270,True
