mes,base_desktop_inicial,migrados_mes,perdidos_mes,migrados_acum,perdidos_acum,pendientes,avance_pct,arpa_desktop_usd,arpa_nube_usd,csat_migracion
2024-09,214000,2536,934,40936,22634,150430,19.13,17.45,36.08,3.65
2024-10,214000,3110,1008,44046,23642,146312,20.58,17.09,37.55,3.8
2024-11,214000,2566,832,46612,24474,142914,21.78,17.13,38.58,3.77
2024-12,214000,3005,799,49617,25273,139110,23.19,17.4,37.39,3.74
2025-01,214000,3235,834,52852,26107,135041,24.7,16.97,39.05,3.71
2025-02,214000,2599,709,55451,26816,131733,25.91,17.05,38.78,3.76
2025-03,214000,2318,852,57769,27668,128563,26.99,16.95,38.97,3.77
2025-04,214000,3066,796,60835,28464,124701,28.43,17.08,37.98,3.61
2025-05,214000,2837,1030,63672,29494,120834,29.75,17.91,37.79,3.69
2025-06,214000,2580,711,66252,30205,117543,30.96,18.07,39.23,3.82
2025-07,214000,2817,947,69069,31152,113779,32.28,16.62,38.01,3.84
2025-08,214000,2480,902,71549,32054,110397,33.43,17.74,38.56,3.79
2025-09,214000,2556,778,74105,32832,107063,34.63,15.95,38.86,3.98
2025-10,214000,2547,746,76652,33578,103770,35.82,17.43,39.47,3.75
2025-11,214000,3255,780,79907,34358,99735,37.34,16.45,39.36,3.71
2025-12,214000,2919,637,82826,34995,96179,38.7,17.05,38.49,3.8
2026-01,214000,2301,693,85127,35688,93185,39.78,19.09,38.96,3.85
2026-02,214000,2705,794,87832,36482,89686,41.04,17.49,39.28,3.95
2026-03,214000,2495,556,90327,37038,86635,42.21,17.05,38.07,3.93
2026-04,214000,2681,567,93008,37605,83387,43.46,17.74,40.52,3.96
2026-05,214000,2762,682,95770,38287,79943,44.75,17.3,39.85,3.87
2026-06,214000,2259,547,98029,38834,77137,45.81,17.17,40.09,4.0
2026-07,214000,2934,587,100963,39421,73616,47.18,16.97,39.4,4.04
2026-08,214000,2186,435,103149,39856,70995,48.2,18.24,36.81,3.79
