mes,pais,plan,motivo,clientes,mrr_perdido_usd
2024-10,Colombia,Siigo Contador,Cerró o quebró el negocio,48,0.0
2024-10,Colombia,Siigo Contador,Precio / ajuste anual,42,0.0
2024-10,Colombia,Siigo Contador,Se fue a la competencia,35,0.0
2024-10,Colombia,Siigo Contador,Mala experiencia de soporte,30,0.0
2024-10,Colombia,Siigo Contador,No logró implementar,29,0.0
2024-10,Colombia,Siigo Contador,Cambió de contador,16,0.0
2024-10,Colombia,Siigo Contador,Funcionalidad faltante,14,0.0
2024-10,Colombia,Siigo Contador,Otro / sin motivo registrado,9,0.0
2024-10,Colombia,Profesional Independiente,Cerró o quebró el negocio,106,4250.29
2024-10,Colombia,Profesional Independiente,Precio / ajuste anual,108,3410.95
2024-10,Colombia,Profesional Independiente,Se fue a la competencia,96,2625.18
2024-10,Colombia,Profesional Independiente,Mala experiencia de soporte,68,2160.86
2024-10,Colombia,Profesional Independiente,No logró implementar,53,1946.56
2024-10,Colombia,Profesional Independiente,Cambió de contador,39,1392.95
2024-10,Colombia,Profesional Independiente,Funcionalidad faltante,43,1196.51
2024-10,Colombia,Profesional Independiente,Otro / sin motivo registrado,25,875.06
2024-10,Colombia,Emprendedor,Cerró o quebró el negocio,84,4149.32
2024-10,Colombia,Emprendedor,Precio / ajuste anual,76,3329.92
2024-10,Colombia,Emprendedor,Se fue a la competencia,62,2562.81
2024-10,Colombia,Emprendedor,Mala experiencia de soporte,49,2109.53
2024-10,Colombia,Emprendedor,No logró implementar,47,1900.32
2024-10,Colombia,Emprendedor,Cambió de contador,33,1359.86
2024-10,Colombia,Emprendedor,Funcionalidad faltante,25,1168.09
2024-10,Colombia,Emprendedor,Otro / sin motivo registrado,22,854.27
2024-10,Colombia,Premium,Cerró o quebró el negocio,51,2042.28
2024-10,Colombia,Premium,Precio / ajuste anual,38,1638.97
2024-10,Colombia,Premium,Se fue a la competencia,32,1261.41
2024-10,Colombia,Premium,Mala experiencia de soporte,23,1038.3
2024-10,Colombia,Premium,No logró implementar,20,935.33
2024-10,Colombia,Premium,Cambió de contador,12,669.32
2024-10,Colombia,Premium,Funcionalidad faltante,12,574.93
2024-10,Colombia,Premium,Otro / sin motivo registrado,8,420.47
2024-10,Colombia,Corporativo,Cerró o quebró el negocio,7,632.9
2024-10,Colombia,Corporativo,Precio / ajuste anual,5,507.91
2024-10,Colombia,Corporativo,Se fue a la competencia,3,390.91
2024-10,Colombia,Corporativo,Mala experiencia de soporte,3,321.77
2024-10,Colombia,Corporativo,No logró implementar,3,289.86
2024-10,Colombia,Corporativo,Cambió de contador,2,207.42
2024-10,Colombia,Corporativo,Funcionalidad faltante,1,178.17
2024-10,Colombia,Corporativo,Otro / sin motivo registrado,1,130.3
2024-10,Colombia,Siigo POS,Cerró o quebró el negocio,54,934.2
2024-10,Colombia,Siigo POS,Precio / ajuste anual,45,749.71
2024-10,Colombia,Siigo POS,Se fue a la competencia,28,577.0
2024-10,Colombia,Siigo POS,Mala experiencia de soporte,24,474.95
2024-10,Colombia,Siigo POS,No logró implementar,28,427.85
2024-10,Colombia,Siigo POS,Cambió de contador,15,306.17
2024-10,Colombia,Siigo POS,Funcionalidad faltante,12,262.99
2024-10,Colombia,Siigo POS,Otro / sin motivo registrado,11,192.33
2024-10,Colombia,POS Gastrobar,Cerró o quebró el negocio,30,690.68
2024-10,Colombia,POS Gastrobar,Precio / ajuste anual,20,554.28
2024-10,Colombia,POS Gastrobar,Se fue a la competencia,16,426.59
2024-10,Colombia,POS Gastrobar,Mala experiencia de soporte,12,351.14
2024-10,Colombia,POS Gastrobar,No logró implementar,10,316.32
2024-10,Colombia,POS Gastrobar,Cambió de contador,7,226.36
2024-10,Colombia,POS Gastrobar,Funcionalidad faltante,7,194.43
2024-10,Colombia,POS Gastrobar,Otro / sin motivo registrado,6,142.2
2024-11,Colombia,Siigo Contador,Cerró o quebró el negocio,59,0.0
2024-11,Colombia,Siigo Contador,Precio / ajuste anual,46,0.0
2024-11,Colombia,Siigo Contador,Se fue a la competencia,31,0.0
2024-11,Colombia,Siigo Contador,Mala experiencia de soporte,30,0.0
2024-11,Colombia,Siigo Contador,No logró implementar,28,0.0
2024-11,Colombia,Siigo Contador,Cambió de contador,18,0.0
2024-11,Colombia,Siigo Contador,Funcionalidad faltante,19,0.0
2024-11,Colombia,Siigo Contador,Otro / sin motivo registrado,12,0.0
2024-11,Colombia,Profesional Independiente,Cerró o quebró el negocio,178,4687.23
2024-11,Colombia,Profesional Independiente,Precio / ajuste anual,112,3761.6
2024-11,Colombia,Profesional Independiente,Se fue a la competencia,96,2895.06
2024-11,Colombia,Profesional Independiente,Mala experiencia de soporte,58,2383.01
2024-11,Colombia,Profesional Independiente,No logró implementar,70,2146.67
2024-11,Colombia,Profesional Independiente,Cambió de contador,41,1536.15
2024-11,Colombia,Profesional Independiente,Funcionalidad faltante,41,1319.52
2024-11,Colombia,Profesional Independiente,Otro / sin motivo registrado,31,965.02
2024-11,Colombia,Emprendedor,Cerró o quebró el negocio,93,4561.69
2024-11,Colombia,Emprendedor,Precio / ajuste anual,95,3660.85
2024-11,Colombia,Emprendedor,Se fue a la competencia,65,2817.52
2024-11,Colombia,Emprendedor,Mala experiencia de soporte,45,2319.18
2024-11,Colombia,Emprendedor,No logró implementar,51,2089.18
2024-11,Colombia,Emprendedor,Cambió de contador,34,1495.01
2024-11,Colombia,Emprendedor,Funcionalidad faltante,33,1284.17
2024-11,Colombia,Emprendedor,Otro / sin motivo registrado,20,939.17
2024-11,Colombia,Premium,Cerró o quebró el negocio,50,2042.22
2024-11,Colombia,Premium,Precio / ajuste anual,42,1638.92
2024-11,Colombia,Premium,Se fue a la competencia,26,1261.37
2024-11,Colombia,Premium,Mala experiencia de soporte,26,1038.27
2024-11,Colombia,Premium,No logró implementar,21,935.3
2024-11,Colombia,Premium,Cambió de contador,15,669.3
2024-11,Colombia,Premium,Funcionalidad faltante,10,574.91
2024-11,Colombia,Premium,Otro / sin motivo registrado,9,420.46
2024-11,Colombia,Corporativo,Cerró o quebró el negocio,8,672.31
2024-11,Colombia,Corporativo,Precio / ajuste anual,6,539.54
2024-11,Colombia,Corporativo,Se fue a la competencia,4,415.25
2024-11,Colombia,Corporativo,Mala experiencia de soporte,3,341.8
2024-11,Colombia,Corporativo,No logró implementar,4,307.91
2024-11,Colombia,Corporativo,Cambió de contador,2,220.34
2024-11,Colombia,Corporativo,Funcionalidad faltante,2,189.26
2024-11,Colombia,Corporativo,Otro / sin motivo registrado,1,138.42
2024-11,Colombia,Siigo POS,Cerró o quebró el negocio,39,795.49
2024-11,Colombia,Siigo POS,Precio / ajuste anual,37,638.4
2024-11,Colombia,Siigo POS,Se fue a la competencia,25,491.33
2024-11,Colombia,Siigo POS,Mala experiencia de soporte,18,404.43
2024-11,Colombia,Siigo POS,No logró implementar,19,364.32
2024-11,Colombia,Siigo POS,Cambió de contador,10,260.71
2024-11,Colombia,Siigo POS,Funcionalidad faltante,11,223.94
2024-11,Colombia,Siigo POS,Otro / sin motivo registrado,8,163.78
2024-11,Colombia,POS Gastrobar,Cerró o quebró el negocio,25,637.43
2024-11,Colombia,POS Gastrobar,Precio / ajuste anual,25,511.55
2024-11,Colombia,POS Gastrobar,Se fue a la competencia,14,393.71
2024-11,Colombia,POS Gastrobar,Mala experiencia de soporte,12,324.07
2024-11,Colombia,POS Gastrobar,No logró implementar,12,291.93
2024-11,Colombia,POS Gastrobar,Cambió de contador,8,208.91
2024-11,Colombia,POS Gastrobar,Funcionalidad faltante,6,179.45
2024-11,Colombia,POS Gastrobar,Otro / sin motivo registrado,5,131.24
2024-12,Colombia,Siigo Contador,Cerró o quebró el negocio,75,0.0
2024-12,Colombia,Siigo Contador,Precio / ajuste anual,56,0.0
2024-12,Colombia,Siigo Contador,Se fue a la competencia,39,0.0
2024-12,Colombia,Siigo Contador,Mala experiencia de soporte,31,0.0
2024-12,Colombia,Siigo Contador,No logró implementar,31,0.0
2024-12,Colombia,Siigo Contador,Cambió de contador,23,0.0
2024-12,Colombia,Siigo Contador,Funcionalidad faltante,17,0.0
2024-12,Colombia,Siigo Contador,Otro / sin motivo registrado,15,0.0
2024-12,Colombia,Profesional Independiente,Cerró o quebró el negocio,168,5142.72
2024-12,Colombia,Profesional Independiente,Precio / ajuste anual,127,4127.14
2024-12,Colombia,Profesional Independiente,Se fue a la competencia,82,3176.39
2024-12,Colombia,Profesional Independiente,Mala experiencia de soporte,69,2614.58
2024-12,Colombia,Profesional Independiente,No logró implementar,70,2355.28
2024-12,Colombia,Profesional Independiente,Cambió de contador,55,1685.43
2024-12,Colombia,Profesional Independiente,Funcionalidad faltante,53,1447.74
2024-12,Colombia,Profesional Independiente,Otro / sin motivo registrado,29,1058.8
2024-12,Colombia,Emprendedor,Cerró o quebró el negocio,114,4977.05
2024-12,Colombia,Emprendedor,Precio / ajuste anual,107,3994.19
2024-12,Colombia,Emprendedor,Se fue a la competencia,69,3074.06
2024-12,Colombia,Emprendedor,Mala experiencia de soporte,52,2530.35
2024-12,Colombia,Emprendedor,No logró implementar,53,2279.4
2024-12,Colombia,Emprendedor,Cambió de contador,33,1631.13
2024-12,Colombia,Emprendedor,Funcionalidad faltante,30,1401.1
2024-12,Colombia,Emprendedor,Otro / sin motivo registrado,24,1024.69
2024-12,Colombia,Premium,Cerró o quebró el negocio,43,2107.57
2024-12,Colombia,Premium,Precio / ajuste anual,33,1691.37
2024-12,Colombia,Premium,Se fue a la competencia,23,1301.74
2024-12,Colombia,Premium,Mala experiencia de soporte,25,1071.5
2024-12,Colombia,Premium,No logró implementar,18,965.23
2024-12,Colombia,Premium,Cambió de contador,16,690.72
2024-12,Colombia,Premium,Funcionalidad faltante,12,593.31
2024-12,Colombia,Premium,Otro / sin motivo registrado,8,433.91
2024-12,Colombia,Corporativo,Cerró o quebró el negocio,8,805.02
2024-12,Colombia,Corporativo,Precio / ajuste anual,6,646.05
2024-12,Colombia,Corporativo,Se fue a la competencia,5,497.22
2024-12,Colombia,Corporativo,Mala experiencia de soporte,5,409.28
2024-12,Colombia,Corporativo,No logró implementar,4,368.69
2024-12,Colombia,Corporativo,Cambió de contador,2,263.83
2024-12,Colombia,Corporativo,Funcionalidad faltante,2,226.62
2024-12,Colombia,Corporativo,Otro / sin motivo registrado,1,165.74
2024-12,Colombia,Siigo POS,Cerró o quebró el negocio,54,1019.22
2024-12,Colombia,Siigo POS,Precio / ajuste anual,45,817.95
2024-12,Colombia,Siigo POS,Se fue a la competencia,31,629.52
2024-12,Colombia,Siigo POS,Mala experiencia de soporte,22,518.18
2024-12,Colombia,Siigo POS,No logró implementar,25,466.79
2024-12,Colombia,Siigo POS,Cambió de contador,15,334.03
2024-12,Colombia,Siigo POS,Funcionalidad faltante,13,286.92
2024-12,Colombia,Siigo POS,Otro / sin motivo registrado,11,209.84
2024-12,Colombia,POS Gastrobar,Cerró o quebró el negocio,32,802.18
2024-12,Colombia,POS Gastrobar,Precio / ajuste anual,22,643.77
2024-12,Colombia,POS Gastrobar,Se fue a la competencia,17,495.47
2024-12,Colombia,POS Gastrobar,Mala experiencia de soporte,15,407.83
2024-12,Colombia,POS Gastrobar,No logró implementar,14,367.39
2024-12,Colombia,POS Gastrobar,Cambió de contador,12,262.9
