mes,pais,segmento,encuestados,promotores_pct,pasivos_pct,detractores_pct,nps,csat
2024-09,Colombia,Micro,694,41.2,22.0,36.7,4.5,3.39
2024-09,Colombia,Pequeña,811,52.6,17.8,29.6,23.0,3.83
2024-09,Colombia,Mediana,1243,56.2,16.4,27.4,28.9,3.97
2024-09,Colombia,Contador,487,63.9,13.5,22.5,41.4,4.27
2024-09,México,Micro,1118,40.1,22.4,37.4,2.7,3.35
2024-09,México,Pequeña,1289,42.9,21.4,35.7,7.2,3.45
2024-09,México,Mediana,724,51.5,18.2,30.3,21.2,3.79
2024-09,México,Contador,1140,54.8,17.0,28.3,26.5,3.91
2024-09,Ecuador,Micro,385,44.4,20.9,34.8,9.6,3.51
2024-09,Ecuador,Pequeña,235,49.8,18.8,31.4,18.4,3.72
2024-09,Ecuador,Mediana,710,54.7,17.0,28.3,26.3,3.91
2024-09,Ecuador,Contador,1042,59.3,15.3,25.4,33.9,4.09
2024-09,Perú,Micro,1091,44.9,20.6,34.4,10.5,3.53
2024-09,Perú,Pequeña,980,48.8,19.2,32.0,16.8,3.68
2024-09,Perú,Mediana,597,56.2,16.4,27.4,28.9,3.97
2024-09,Perú,Contador,945,60.5,14.8,24.7,35.7,4.13
2024-09,Uruguay,Micro,361,47.7,19.6,32.7,15.0,3.64
2024-09,Uruguay,Pequeña,1223,51.4,18.2,30.4,21.0,3.78
2024-09,Uruguay,Mediana,362,59.9,15.0,25.0,34.9,4.11
2024-09,Uruguay,Contador,1002,62.2,14.2,23.6,38.6,4.2
2024-09,Chile,Micro,1239,40.6,22.3,37.1,3.5,3.37
2024-09,Chile,Pequeña,1341,47.7,19.6,32.7,15.1,3.64
2024-09,Chile,Mediana,1397,51.7,18.1,30.2,21.5,3.79
2024-09,Chile,Contador,865,54.6,17.0,28.3,26.3,3.91
2024-10,Colombia,Micro,485,44.3,20.9,34.8,9.4,3.54
2024-10,Colombia,Pequeña,331,52.7,17.8,29.6,23.1,3.86
2024-10,Colombia,Mediana,571,54.5,17.1,28.5,26.0,3.93
2024-10,Colombia,Contador,1357,62.3,14.1,23.6,38.7,4.24
2024-10,México,Micro,502,36.5,23.8,39.7,-3.1,3.24
2024-10,México,Pequeña,941,49.5,18.9,31.6,17.9,3.74
2024-10,México,Mediana,595,47.1,19.8,33.1,14.0,3.65
2024-10,México,Contador,275,54.0,17.2,28.7,25.3,3.92
2024-10,Ecuador,Micro,290,45.8,20.3,33.9,12.0,3.6
2024-10,Ecuador,Pequeña,210,49.8,18.8,31.4,18.4,3.75
2024-10,Ecuador,Mediana,515,56.1,16.5,27.4,28.7,4.0
2024-10,Ecuador,Contador,562,59.2,15.3,25.5,33.7,4.12
2024-10,Perú,Micro,468,44.6,20.8,34.6,9.9,3.55
2024-10,Perú,Pequeña,890,54.2,17.2,28.6,25.5,3.92
2024-10,Perú,Mediana,1255,58.9,15.4,25.7,33.2,4.1
2024-10,Perú,Contador,373,57.4,16.0,26.6,30.8,4.05
2024-10,Uruguay,Micro,955,47.4,19.7,32.9,14.5,3.66
2024-10,Uruguay,Pequeña,1265,55.3,16.8,27.9,27.4,3.97
2024-10,Uruguay,Mediana,1064,61.3,14.5,24.2,37.2,4.2
2024-10,Uruguay,Contador,641,63.2,13.8,23.0,40.3,4.27
2024-10,Chile,Micro,1354,43.0,21.4,35.6,7.4,3.49
2024-10,Chile,Pequeña,636,47.9,19.5,32.6,15.3,3.68
2024-10,Chile,Mediana,789,55.7,16.6,27.7,28.1,3.98
2024-10,Chile,Contador,590,55.8,16.6,27.6,28.2,3.99
2024-11,Colombia,Micro,1132,52.0,18.0,30.0,22.0,3.96
2024-11,Colombia,Pequeña,1023,56.0,16.5,27.5,28.5,4.11
2024-11,Colombia,Mediana,930,58.7,15.5,25.8,32.9,4.22
2024-11,Colombia,Contador,448,60.6,14.8,24.7,35.9,4.29
2024-11,México,Micro,1086,40.7,22.3,37.1,3.6,3.52
2024-11,México,Pequeña,1103,49.9,18.8,31.3,18.6,3.88
2024-11,México,Mediana,539,55.5,16.7,27.8,27.6,4.09
2024-11,México,Contador,1328,53.4,17.5,29.1,24.3,4.01
2024-11,Ecuador,Micro,591,45.1,20.6,34.3,10.7,3.69
2024-11,Ecuador,Pequeña,958,54.1,17.2,28.7,25.4,4.04
2024-11,Ecuador,Mediana,300,57.4,16.0,26.6,30.8,4.17
2024-11,Ecuador,Contador,1351,61.4,14.5,24.1,37.3,4.32
2024-11,Perú,Micro,200,46.6,20.0,33.4,13.3,3.75
2024-11,Perú,Pequeña,544,54.4,17.1,28.5,25.9,4.05
2024-11,Perú,Mediana,1366,59.3,15.3,25.4,33.9,4.24
2024-11,Perú,Contador,443,62.2,14.2,23.6,38.6,4.35
2024-11,Uruguay,Micro,199,49.9,18.8,31.3,18.5,3.87
