fecha,mes,uptime_pct,latencia_p50_ms,latencia_p95_ms,peticiones_millones,errores_5xx,incidentes
2024-09-01,2024-09,100.0,171,715,62.09,1622,0
2024-09-02,2024-09,100.0,152,657,51.92,1935,0
2024-09-03,2024-09,100.0,162,728,49.86,1645,0
2024-09-04,2024-09,99.6806,165,801,50.57,1888,1
2024-09-05,2024-09,100.0,152,725,49.66,2625,0
2024-09-06,2024-09,100.0,164,732,49.51,1500,0
2024-09-07,2024-09,100.0,142,800,50.89,1863,0
2024-09-08,2024-09,100.0,163,795,48.57,1760,0
2024-09-09,2024-09,100.0,181,599,56.94,1976,0
2024-09-10,2024-09,100.0,181,737,56.89,2026,0
2024-09-11,2024-09,99.8237,134,641,56.87,2043,1
2024-09-12,2024-09,100.0,176,639,47.58,1711,0
2024-09-13,2024-09,100.0,147,594,55.69,1906,0
2024-09-14,2024-09,100.0,176,786,53.18,1116,0
2024-09-15,2024-09,100.0,166,615,49.1,1983,0
2024-09-16,2024-09,100.0,156,688,54.32,1607,0
2024-09-17,2024-09,100.0,146,727,55.21,1501,0
2024-09-18,2024-09,100.0,155,776,49.69,1349,0
2024-09-19,2024-09,100.0,187,631,55.83,1604,0
2024-09-20,2024-09,100.0,164,642,56.34,1797,0
2024-09-21,2024-09,100.0,158,783,47.77,2084,0
2024-09-22,2024-09,100.0,170,733,52.68,1773,0
2024-09-23,2024-09,100.0,166,764,55.4,1686,0
2024-09-24,2024-09,100.0,166,650,47.24,2046,0
2024-09-25,2024-09,100.0,184,688,46.51,2086,0
2024-09-26,2024-09,100.0,167,674,47.44,2240,0
2024-09-27,2024-09,100.0,186,630,56.97,1795,0
2024-09-28,2024-09,100.0,194,1084,92.22,2866,0
2024-09-29,2024-09,100.0,219,1057,88.39,3176,0
2024-09-30,2024-09,100.0,212,1014,89.14,2731,0
2024-10-01,2024-10,100.0,143,736,57.83,1602,0
2024-10-02,2024-10,100.0,159,741,47.9,1614,0
2024-10-03,2024-10,100.0,149,644,49.13,1759,0
2024-10-04,2024-10,100.0,141,618,51.6,2294,0
2024-10-05,2024-10,100.0,142,591,46.15,1729,0
2024-10-06,2024-10,100.0,166,632,45.92,1894,0
2024-10-07,2024-10,100.0,179,736,45.26,1189,0
2024-10-08,2024-10,100.0,151,648,45.04,1287,0
2024-10-09,2024-10,100.0,158,728,49.73,1940,0
2024-10-10,2024-10,100.0,159,688,45.76,2601,0
2024-10-11,2024-10,100.0,142,624,53.28,1510,0
2024-10-12,2024-10,100.0,168,771,52.06,1511,0
2024-10-13,2024-10,100.0,166,770,53.12,2010,0
2024-10-14,2024-10,100.0,174,720,53.41,1689,0
