mes,pais,motivo,cantidad
2024-09,Chile,NIT del adquiriente inválido,1657
2024-09,Chile,Fecha fuera del rango permitido,1278
2024-09,Chile,Error en cálculo de IVA,924
2024-09,Chile,CUFE duplicado,853
2024-09,Chile,Resolución de numeración vencida,934
2024-09,Chile,Detalle de tributos incompleto,640
2024-09,Chile,Firma digital inválida,498
2024-09,Chile,Otros rechazos técnicos,301
2024-09,Colombia,NIT del adquiriente inválido,49820
2024-09,Colombia,Fecha fuera del rango permitido,37497
2024-09,Colombia,Error en cálculo de IVA,36290
2024-09,Colombia,CUFE duplicado,29613
2024-09,Colombia,Resolución de numeración vencida,24955
2024-09,Colombia,Detalle de tributos incompleto,22966
2024-09,Colombia,Firma digital inválida,16728
2024-09,Colombia,Otros rechazos técnicos,11334
2024-09,Ecuador,NIT del adquiriente inválido,9922
2024-09,Ecuador,Fecha fuera del rango permitido,9227
2024-09,Ecuador,Error en cálculo de IVA,9691
2024-09,Ecuador,CUFE duplicado,6859
2024-09,Ecuador,Resolución de numeración vencida,7335
2024-09,Ecuador,Detalle de tributos incompleto,4544
2024-09,Ecuador,Firma digital inválida,3429
2024-09,Ecuador,Otros rechazos técnicos,2765
2024-09,México,NIT del adquiriente inválido,28620
2024-09,México,Fecha fuera del rango permitido,22336
2024-09,México,Error en cálculo de IVA,18377
2024-09,México,CUFE duplicado,14124
2024-09,México,Resolución de numeración vencida,16670
2024-09,México,Detalle de tributos incompleto,11993
2024-09,México,Firma digital inválida,9413
2024-09,México,Otros rechazos técnicos,6681
2024-09,Perú,NIT del adquiriente inválido,5639
2024-09,Perú,Fecha fuera del rango permitido,5416
2024-09,Perú,Error en cálculo de IVA,4819
2024-09,Perú,CUFE duplicado,4316
2024-09,Perú,Resolución de numeración vencida,3518
2024-09,Perú,Detalle de tributos incompleto,2516
2024-09,Perú,Firma digital inválida,2278
2024-09,Perú,Otros rechazos técnicos,1490
2024-09,Uruguay,NIT del adquiriente inválido,4576
2024-09,Uruguay,Fecha fuera del rango permitido,3207
2024-09,Uruguay,Error en cálculo de IVA,3095
2024-09,Uruguay,CUFE duplicado,2623
2024-09,Uruguay,Resolución de numeración vencida,2267
2024-09,Uruguay,Detalle de tributos incompleto,1591
2024-09,Uruguay,Firma digital inválida,1508
2024-09,Uruguay,Otros rechazos técnicos,954
2024-10,Chile,NIT del adquiriente inválido,1387
2024-10,Chile,Fecha fuera del rango permitido,1489
