mes,pais,plan,clientes,arpa_usd,mrr_usd
2024-09,Colombia,Siigo Contador,18051,0.0,0.0
2024-09,Colombia,Profesional Independiente,24952,31.9,796031.7
2024-09,Colombia,Emprendedor,28138,41.81,1176393.46
2024-09,Colombia,Premium,16458,45.42,747570.05
2024-09,Colombia,Corporativo,5521,85.0,469335.51
2024-09,Colombia,Siigo POS,8813,19.45,171395.16
2024-09,Colombia,POS Gastrobar,4247,26.0,110442.8
2024-10,Colombia,Siigo Contador,18161,0.0,0.0
2024-10,Colombia,Profesional Independiente,25034,31.99,800820.8
2024-10,Colombia,Emprendedor,28309,42.15,1193104.75
2024-10,Colombia,Premium,16589,45.67,757654.87
2024-10,Colombia,Corporativo,5557,85.84,477003.08
2024-10,Colombia,Siigo POS,8888,19.51,173424.8
2024-10,Colombia,POS Gastrobar,4268,26.12,111487.35
2024-11,Colombia,Siigo Contador,18250,0.0,0.0
2024-11,Colombia,Profesional Independiente,25051,32.02,802111.08
2024-11,Colombia,Emprendedor,28463,42.4,1206921.58
2024-11,Colombia,Premium,16663,45.92,765211.36
2024-11,Colombia,Corporativo,5589,86.21,481820.28
2024-11,Colombia,Siigo POS,8942,19.53,174660.76
2024-11,Colombia,POS Gastrobar,4285,26.16,112121.4
2024-12,Colombia,Siigo Contador,18258,0.0,0.0
2024-12,Colombia,Profesional Independiente,25024,32.11,803520.98
2024-12,Colombia,Emprendedor,28465,42.46,1208507.58
2024-12,Colombia,Premium,16662,46.21,769973.44
2024-12,Colombia,Corporativo,5599,86.9,486547.57
2024-12,Colombia,Siigo POS,8939,19.56,174882.88
2024-12,Colombia,POS Gastrobar,4273,26.23,112079.47
2025-01,Colombia,Siigo Contador,18512,0.0,0.0
2025-01,Colombia,Profesional Independiente,25503,33.91,864935.42
2025-01,Colombia,Emprendedor,28930,44.95,1300342.63
2025-01,Colombia,Premium,16841,48.89,823384.3
2025-01,Colombia,Corporativo,5657,92.12,521168.55
2025-01,Colombia,Siigo POS,9069,20.7,187761.27
2025-01,Colombia,POS Gastrobar,4365,27.66,120734.05
